algorithm,profile,lags,horizon,model_variant,avg_inference_time_ms,avg_total_time_ms,avg_cpu_percent,avg_ram_percent,model_size_mb,run_id
random_forest,edge,1,16,model.joblib,563.0862214321527,594.9812200812275,28.479520308437184,72.57966101694915,4.3296,2025-08-26_023735_3353_train
random_forest,edge,4,1,model.joblib,34.07966058531942,73.77432675483365,26.519865599792052,48.591071428571425,0.2979,2025-08-26_023944_4736_train
random_forest,edge,4,4,model.joblib,138.23807900771496,178.6122791402574,27.631822159584228,49.699999999999996,1.1626,2025-08-26_024109_5879_train
random_forest,edge,4,7,model.joblib,246.27769766798752,285.5630317145759,28.135963714597555,50.89999999999999,1.9681,2025-08-26_024244_7856_train
random_forest,edge,4,10,model.joblib,351.01972497915,390.2467493649705,28.22374062420625,52.0,2.7527,2025-08-26_024433_9128_train
random_forest,edge,4,13,model.joblib,446.66146975941956,485.95374610158615,28.324622807545875,70.54107142857143,3.6117,2025-08-26_024636_4915_train
random_forest,edge,4,16,model.joblib,557.0088529747657,596.2411607532496,28.57291041114774,61.5,4.4791,2025-08-26_024906_6409_train
random_forest,edge,7,1,model.joblib,33.50207265555998,81.28606063261063,25.97698143579429,52.09245283018867,0.2992,2025-08-26_025146_8253_train
random_forest,edge,7,4,model.joblib,136.30580212562703,184.9865909964549,27.497332814036465,53.099999999999994,1.1286,2025-08-26_025309_9710_train
random_forest,edge,7,7,model.joblib,241.02594153149624,288.7501022207357,28.178190697828516,53.68301886792451,1.9131,2025-08-26_025449_5136_train
random_forest,edge,7,10,model.joblib,342.31423079752574,389.94466734804075,28.220959749294558,71.32641509433962,2.6912,2025-08-26_025648_3552_train
random_forest,edge,7,13,model.joblib,448.2693958740968,495.27315993107993,28.235455894909013,68.00188679245281,3.5674,2025-08-26_025915_9716_train
random_forest,edge,7,16,model.joblib,551.4888271080474,600.1410461514134,28.51033938736313,71.1,4.4203,2025-08-26_030158_6801_train
random_forest,edge,10,1,model.joblib,32.46401778745404,87.58918822277333,25.803161663500262,58.966,0.2733,2025-08-26_030503_5302_train
random_forest,edge,10,4,model.joblib,138.16740263101394,195.1543217245489,27.51015690583344,51.18,1.0655,2025-08-26_030631_9276_train
random_forest,edge,10,7,model.joblib,243.17061759018316,299.4193413807079,27.8873101023732,50.55,1.8395,2025-08-26_030819_2413_train
random_forest,edge,10,10,model.joblib,348.7077028519113,405.0774748483673,28.130071824734344,50.6,2.654,2025-08-26_031029_2006_train
random_forest,edge,10,13,model.joblib,448.3193066256235,505.20712927449495,28.075714344306686,71.414,3.5115,2025-08-26_031303_3158_train
random_forest,edge,10,16,model.joblib,553.0944416888667,607.8887928184122,28.393052019981404,59.903999999999996,4.3614,2025-08-26_031612_1125_train
random_forest,edge,13,1,model.joblib,32.17130532467976,97.14416298579341,25.65306536521458,54.76595744680852,0.2658,2025-08-26_031942_3275_train
random_forest,edge,13,4,model.joblib,134.54483814395797,199.68229976106198,26.93143235172216,53.57021276595744,1.0566,2025-08-26_032109_5826_train
random_forest,edge,13,7,model.joblib,242.59771717934993,304.72593975471375,27.97580031946356,69.76595744680854,1.8666,2025-08-26_032303_4954_train
random_forest,edge,13,10,model.joblib,340.0853292449661,406.10653666799215,28.22393850907037,65.61063829787231,2.7248,2025-08-26_032532_5955_train
random_forest,edge,13,13,model.joblib,452.7142632489457,518.2720964150304,28.258466135168714,53.800000000000026,3.5792,2025-08-26_032827_3134_train
random_forest,edge,13,16,model.joblib,556.6204003179851,622.2675172067148,28.346315736656557,68.62127659574465,4.4277,2025-08-26_033150_6615_train
random_forest,edge,16,1,model.joblib,32.211857750405365,105.89694518553597,25.838616452169347,54.400000000000006,0.2647,2025-08-26_033549_2242_train
random_forest,edge,16,4,model.joblib,135.85602802895872,211.12229351208293,26.94568184580428,49.23409090909092,1.0841,2025-08-26_033721_8666_train
random_forest,edge,16,7,model.joblib,243.8070059613173,318.59666822922674,27.49869182793291,49.16818181818181,1.9472,2025-08-26_033923_2927_train
random_forest,edge,16,10,model.joblib,347.2347582343879,420.29934867010024,28.037542971328765,70.52499999999999,2.8049,2025-08-26_034158_8435_train
random_forest,edge,16,13,model.joblib,452.1842320276381,526.5838938225485,28.17089403681557,60.89772727272728,3.6562,2025-08-26_034519_1862_train
random_forest,edge,16,16,model.joblib,555.2583222418243,629.7787569399754,28.257811386528864,72.7068181818182,4.5051,2025-08-26_034910_9840_train
xgboost,edge,1,1,model.json,2.2268178712190725,33.142860142229935,27.171768136260006,71.26610169491526,0.3301,2025-08-26_035357_4907_train
xgboost,edge,1,4,model.joblib,6.873700550982098,37.379358058511166,31.90382857431071,57.79661016949152,0.2175,2025-08-26_035515_7368_train
xgboost,edge,1,7,model.joblib,11.25577365947433,42.61442041024561,35.68842547176756,53.9,0.3842,2025-08-26_035639_6057_train
xgboost,edge,1,10,model.joblib,14.878749566409558,45.21173839773031,38.726454680884736,52.79830508474578,0.5521,2025-08-26_035758_3943_train
xgboost,edge,1,13,model.joblib,18.477304878740945,49.21910989540229,41.35602252940675,52.80000000000001,0.7107,2025-08-26_035917_3209_train
xgboost,edge,1,16,model.joblib,22.457480101428626,53.39603408208208,43.873296371593,51.576271186440685,0.8737,2025-08-26_040037_8500_train
xgboost,edge,4,1,model.json,2.3627819832075234,41.93735421618575,27.24738259285399,50.0,0.3425,2025-08-26_040158_4965_train
xgboost,edge,4,4,model.joblib,6.397431741722556,45.692146942850954,30.15659378131705,50.473214285714285,0.2374,2025-08-26_040312_9362_train
xgboost,edge,4,7,model.joblib,10.837360619651948,50.488223508831865,33.16751320913288,51.300000000000004,0.4268,2025-08-26_040428_7367_train
xgboost,edge,4,10,model.joblib,15.04931124350559,53.563064666897276,36.36661827484319,51.5,0.6158,2025-08-26_040546_3042_train
xgboost,edge,4,13,model.joblib,17.843929830599876,57.14100200982227,39.18329630377514,52.0,0.7996,2025-08-26_040708_2448_train
xgboost,edge,4,16,model.joblib,22.78272190385239,61.97450854233462,41.470564901817234,49.982142857142854,0.986,2025-08-26_040831_7875_train
xgboost,edge,7,1,model.json,2.4317542959648946,49.64936684096615,26.132666348717255,47.599999999999994,0.347,2025-08-26_040957_3301_train
xgboost,edge,7,4,model.joblib,6.590282822099392,53.78915304493786,29.643000745339037,48.16037735849056,0.2465,2025-08-26_041111_9991_train
xgboost,edge,7,7,model.joblib,10.417059345994666,57.674374141431606,31.663825346746137,48.80000000000002,0.434,2025-08-26_041229_6560_train
xgboost,edge,7,10,model.joblib,14.062452618068468,60.67679076947548,34.624803335986186,48.69999999999998,0.6309,2025-08-26_041348_9536_train
xgboost,edge,7,13,model.joblib,17.554122932219403,64.13869752618919,37.10598260497681,49.30000000000002,0.8197,2025-08-26_041510_2836_train
xgboost,edge,7,16,model.joblib,21.70208250082881,68.61911660921317,39.3323527577786,49.596226415094335,1.0,2025-08-26_041635_2355_train
xgboost,edge,10,1,model.json,1.7111887300044388,56.93586315494027,25.744632137518106,47.80000000000001,0.3678,2025-08-26_041803_4397_train
xgboost,edge,10,4,model.joblib,6.158440521138908,61.22620273847129,28.518814328050965,47.9,0.2548,2025-08-26_041918_1018_train
xgboost,edge,10,7,model.joblib,10.275489280038292,68.16155824344601,30.517584751119916,48.61999999999999,0.4516,2025-08-26_042035_9239_train
xgboost,edge,10,10,model.joblib,14.599912795143105,70.19693120848382,34.325048146006246,49.115999999999985,0.6509,2025-08-26_042156_2518_train
xgboost,edge,10,13,model.joblib,17.326980011955772,73.09348764829333,35.83407224185894,49.30000000000001,0.8333,2025-08-26_042321_6064_train
xgboost,edge,10,16,model.joblib,21.17065752248218,76.33986668661231,37.675761353469845,50.30000000000001,1.0229,2025-08-26_042448_8947_train
xgboost,edge,13,1,model.json,2.1605903343499544,73.28924778452576,24.300763886550598,47.90000000000001,0.3701,2025-08-26_042618_4641_train
xgboost,edge,13,4,model.joblib,5.722749720165532,69.07377741299565,28.21539093812003,48.80000000000002,0.2631,2025-08-26_042734_6197_train
xgboost,edge,13,7,model.joblib,10.223606793695767,73.76630661731701,30.117507126148965,49.24468085106381,0.4637,2025-08-26_042855_5628_train
xgboost,edge,13,10,model.joblib,13.962035522917638,78.74912624445523,32.90319260251159,49.5,0.6581,2025-08-26_043018_7391_train
xgboost,edge,13,13,model.joblib,17.256409101917,82.47460683490681,34.98786253987836,49.80000000000002,0.8512,2025-08-26_043145_5691_train
xgboost,edge,13,16,model.joblib,21.6400422783487,85.64115304777276,36.4948554343129,50.300000000000026,1.0467,2025-08-26_043315_4997_train
xgboost,edge,16,1,model.json,1.8573231875982532,74.86094243887976,25.87851141988372,48.145454545454534,0.3747,2025-08-26_043449_6346_train
xgboost,edge,16,4,model.joblib,6.170744341689788,78.72075976973227,28.11534972213786,48.988636363636374,0.2668,2025-08-26_043605_7250_train
xgboost,edge,16,7,model.joblib,10.218503078185837,83.24654904109507,30.746961263615734,48.900000000000006,0.4632,2025-08-26_043725_6715_train
xgboost,edge,16,10,model.joblib,13.489663736288232,86.44073267086321,32.05781169909273,49.599999999999994,0.6665,2025-08-26_043849_2561_train
xgboost,edge,16,13,model.joblib,17.637350174143517,90.05105311305005,33.848430053043984,50.0,0.8632,2025-08-26_044018_7905_train
xgboost,edge,16,16,model.joblib,21.991134420860252,95.58886737795542,35.64490222139536,50.5340909090909,1.0658,2025-08-26_044151_1189_train
